No,Pertanyaan dan jawaban
1,Apa yang dimaksud dengan kewirausahaan ?
,"Kewirausahaan adalah sebuah proses dalam melakukan sesuatu yang baru dengan cara kreatif dan penuh inovasi yang bermanfaat bagi orang lain dan memberikan nilai lebih. Kata “Kewirausahaan” berasal dari kata wira dan usaha. Menurut kamus Bahasa Indonesia, Wira berarti; pejuang, berani dan berwatak agung, berbudi luhur."
2,Jelaskan tujuan kewirausahaan ?
,"1. Untuk lebih mengembangkan rencana bisnis
2. Menciptakan dan meluncurkan produk pertama milik seseorang
3. Menciptakan kehadiran dan kontribusi bisnis secara online
4. Untuk mencapai stabilitas keuangan yang lebih baik dari sebelumnya
5. Dapat mendelegasikan kemampuan secara efektif
6. Bisa bekerja dengan banyak klien yang ideal
7. Berhubungan dengan banyak individu baru yang memiliki kesamaan pemikiran
8. Membangun identitas produk
9. Bisa menerapkan strategi pemasaran sebuah produk baru agar laku di pasaran"
3,Apa saja sifat sifat kewirausahaan ?
,"1. Memiliki rasa percaya diri dalam melaksanakan tugasnya sebagai wirausaha yang nantinya akan berpengaruh pada gagasan, karsa, inisiatif, kreativitas, keberanian, ketekunan, kerja keras dan semangatnya dalam bekerja.
2. Memiliki orientasi yang kuat pada jalannya tugas dan hasil yang hendak dicapai.
3. Mau dan mampu dalam mengambil sebuah keputusan serta dalam menghadapi risiko yang ada di depan mata.
4. Memiliki jiwa kepemimpinan, seperti kepeloporan, keteladanan, tampil beda, dan mampu berpikir divergen atau konvergen.
5. Memiliki nilai orisinil dan unsur lain seperti inovatif, kreatif, dan fleksibel.
6. Memiliki orientasi ke masa depan untuk terus mencari peluang, tidak mudah puas, dan punya kemauan yang kuat."
4,Ciri - ciri kewirausahaan ?
,"1. Tampil sebagai pribadi yang memiliki komitmen tinggi
2. Memiliki jiwa bertanggung jawab terhadap apapun jenis tugas yang diemban
3. Berani melihat dan mengambil peluang untuk mencapai sebuah obsesi
4. Memiliki jiwa dan pemikiran yang kreatif serta fleksibel
5. Mempunyai motivasi yang tinggi untuk unggul
6. Berpandangan kuat terhadap masa depan yang akan dihadapi
7. Mampu untuk terus belajar dan menerima segala bentuk kegagalan
8. Memiliki kemampuan dalam menjalankan kepemimpinan"
5,Apa tujuan kewirausahaan dalam perkembangan ekonomi ?
,"Salah satu tujuan kewirausahaan yaitu memberikan potensi lapangan kerja yang lebih besar. Dengan adanya usaha kecil yang terbentuk, maka kebutuhan pekerja juga akan meningkat. Hal ini tentunya dapat mendukung pertumbuhan ekonomi di masyarakat."
6,Apa tujuan kewirausahaan untuk siswa ?
,"Pendidikan kewirausahaan dianggap sangat penting untuk memberikan kesempatan bagi siswa menjadi pribadi yang inovatif, kreatif, mandiri, dan menjadi pemimpin yang mampu menghadapi tantangan."
7,Apa peran seorang wirausaha ?
,Peran wirausaha dalam perekonomian Indonesia adalah dapat menciptakan perubahan sosial. Wirausaha berlomba melahirkan inovasi dan ide baru di sektor usahanya. Hal ini membuat wirausaha dapat mengurangi ketergantungan pada sistem bisnis yang sudah usang.
8,Apa pentingnya kewirausahaan bagi masyarakat ?
,manfaat wirausaha turut dirasakan oleh masyarakat sekitar. Salah satunya adalah menciptakan pertumbuhan ekonomi dengan adanya lapangan pekerjaan untuk masyarakat. Terbukanya lowongan pekerjaan membantu meningkatkan pertumbuhan ekonomi warga sekitar dan negara.
9,Apa yang menjadi kunci sukses dalam kewirausahaan ?
,"Selain berani mengambil risiko, kunci kesuksesan dalam berwirausaha adalah berani mengambil tindakan yang berhubungan dengan nasib bisnis. Dengan berani mengambil langkah terkait produk dan usaha yang dijalankan, ada kemungkinan produk tersebut dikenal luas oleh masyarakat"
10,Apa saja kelemahan dalam berwirausaha?
,"Pendapatan tidak pasti dan sulit diprediksi, beresiko kehilangan banyak modal, memiliki waktu kerja yang panjang"
11,Bagaimana cara untuk menumbuhkan keinginan untuk berwirausaha?
,"1. Start dengan Niat dan keyakinan
2. Cepat dan tanggap dalam mengidentifikasi peluang
3. Belajar dari kisah sukses orang lain
4. Modal/Capital
5. Optimis dalam berwirausaha
6. Punya skill menjual
7. Realisasikan sekarang juga "
12,Fakror apa saja yang menyebabkan kegagalan dalam berwirausaha?
,"1. Tidak memiliki tujuan yang jelas
2. Tidak mengetahui target pasar anda
3. Minimnya soft skill terkait urusan manajerial
4. Kurangnya riset
5. Pengelolaan keuangan tidak rapi
6. Menyalin bisnis lain
7. Mencoba menjadi segalanya bagi semua orang
8. Lokasi usaha yang tidak strategis"
13,Apa nama lain dari wirausaha ?
,"Istilah lain dari wirausaha adalah entrepreneur . Menurut Kamus Oxford, entrepreneur berarti seseorang yang menghasilkan uang dengan cara memulai atau menjalankan bisnis, terutama yang kegiatannya melibatkan berbagai risiko finansial."
14,Apa berbedaan antara wirausaha dan kewirausahaan ?
,"Seperti yang sudah disebutkan sebelumnya, wirausaha merupakan sosok yang menjalankan usaha sedangkan kewirausahaan adalah proses dari berjalannya sebuah bisnis."
15,Apa yang harus dilakukan oleh seorang wirausaha dalam menyikapi sebuah kegagalan?
,"1. Selalu berpikir positif, dalam mengalami kegagalan, ada hal yang paling penting yang anda lakukan adalah dengan terus berpikir positif
2. Memiliki tujuan yang Jelas
3. Mengetahui penyebab kegagalan
4. Cek kembali kondisi keuangan
5. Fokus Pada target"
16,Apa saja tahapan proses kewirausahaan ?
,"1. Menentukan Produk
Untuk memulai suatu usaha kita harus menentukan produkapa yang akan kita jadikan usaha. Dalam menentukan produk kita harus memperhatikan ketiga hal berikut:
a. Menentukan produk berdasarkan keahlian kita
b. Menentukan produk berdasarkan trend
c. Menentukan produk berdasarkan peluang
2. Menentukan Target Pasar
Selanjutnya kita harus menentukan kepada siapa produk kita akan dijual. Apakah kepada kalangan atas, kalangan menengah, atau kalangan bawah.
3. Menguji Kelayakan Produk
Terdapat tiga hal yang perlu diperhatikan, diantaranya:
a. Biaya investasi
b. Biaya modal kerja
c. Prediksi kas masuk
4. Struktur Manajemen
Ada dua jenis struktur manajemen, yaitu struktur manajemen sederhana dan struktur manajemen yang rumit. Manajemen sederhana hanya ada kita sebagai bos dan karyawan sebagai pembuat produk. Sedangkan manajemen rumit, selain kita sebagai bos dan karyawan sebagai pembuat produk, kita harus membuat manajemen-manajemen lainnya. Seperti manajemen keuangan, operasional, dan lain sebagainya.
5. Modal
Selain membutuhkan uang sebagai modal, dalam memulai sebuah usaha juga diperlukan adanya tenaga dan waktu. Modal tenaga dan waktu akan mudah didapat apabila kita memiliki keinginan yang kuat untuk memulai sebuah usaha.
6. Bentuk Usaha
Kita bias menentukan bentuk usaha apa yang kita inginkan, bisa berbentuk CV, PT, usaha perseorangan, ataupun bentuk usaha lainnya"
17,Apa yang dimaksud dengan pemasaran digital ?
,Pemasaran digital adalah suatu kegiatan pemasaran atau promosi sebuah merek atau produk menggunakan media digital atau internet dengan tujuan untuk menarik konsumen atau calon konsumen secara cepat
18,Apa saja contoh pemasaran digital ?
,"Contoh digital marketing meliputi penggunaan iklan online, media sosial, email marketing, optimisasi mesin pencari (SEO), dan pemasaran konten. Dengan memanfaatkan berbagai strategi ini, sebuah perusahaan dapat membangun hubungan dengan pelanggan, meningkatkan penjualan, dan mencapai keberhasilan pemasaran"
19,Apa saja manfaat pemasaran digital ?
,"Digital marketing akan membantu perusahaan untuk membaca segala macam perkembangan maupun perubahan yang terjadi melalui media online, sehingga bisnis kita bisa beradaptasi dengan segala perubahan tersebut"
20,Apa saja kunci strategi digital marketing yang sukses?
,"1. Memahami kebutuhan audiens
2. Membuat iklan yang menarik
3. Fokus pada konten berkualitas
4. Memiliki tim yang kompeten
5. Memilih platform yang Tepat
6. Melakukan evaluasi pada setiap strategi pemasarannya"
21,Jenis-jenis promosi apa saja ?
,"1. Advertising atau Iklan
2. Direct Marketing atau Pemasaran Langsung
3. Sales Promotion atau Promosi Penjualan
4. Personal Selling atau Penjualan Pribadi
5. Public Relation (PR) atau Humas
6. Sponsorship
7. Digital Promotion atau Online Promotion"
22,Bagaimana memulai pemasaran dengan media digital ?
